trans_date;trans_time.2;cc_num;merchant;category;amt;first name;surname;gender;street;city;state;zip;city_pop;job;dob;trans_num;unix_time;merch_lat;merch_long;is_fraud
2019/01/11;00:01:56;4104312520615374;fraud_Huel, Hammes and Witting;grocery_pos;93.58;Brooke;Rodriguez;F;901 Todd Gardens Apt. 466;Mountain Center;CA;92561;1661;Therapist, music;1988-09-19;5e60167467871ab0d52e8429236ba630;1326240116;33.513046;-116.114282;0
2019/01/12;00:02:05;30030380240193;fraud_McDermott-Weimann;grocery_pos;86.31;William;Jenkins;M;50614 Kevin Point;Harper;TX;78631;2395;Pharmacist, community;1993-11-17;af6ec3a095d9b539ec15f8a3c953d00c;1326326525;31.168803000000004;-100.120622;0
2019/01/13;00:00:49;4060579726528237;fraud_Botsford Ltd;shopping_pos;134.18;Steven;Sanders;M;25955 Amy Via;Ozawkie;KS;66070;2661;Theatre director;1948-11-14;c113f2682d6cf1443b2dfe5a9eced709;1326412849;38.572249;-96.03820999999999;0
2019/01/14;00:00:06;3582754887089201;fraud_Kuhic LLC;shopping_net;7.3;Terrance;Mckinney;M;42965 Christopher Fords Suite 659;Norman;AR;71960;1383;Magazine features editor;1966-08-08;6b1a991c4f9c5a2d3a386412e7b6d6c9;1326499206;35.192493;-92.951475;0
2019/01/15;00:00:31;3552581383553463;fraud_Parker, Nolan and Trantow;entertainment;7.97;Jonathan;Castro;M;200 Christie Mills Apt. 307;Andrews;NC;28901;5354;Retail buyer;1965-04-13;4ea2c65562e63bbc7f4441bb0bc75236;1326585631;35.918693;-84.544508;0
2019/01/16;00:11:09;6011542681743618;fraud_Stehr, Jewess and Schimmel;misc_net;1.9;Emily;Hall;F;8851 Reese Neck;Basye;VA;22810;863;Engineer, mining;1972-08-09;0ef8f890cc47fe43b4484905ed1ba666;1326672669;38.571296000000004;-78.194616;0
2019/01/17;00:01:11;4708992452821239;fraud_Pacocha-O'Reilly;grocery_pos;160.73;Jared;Walters;M;3326 Hannah Fords;Cord;AR;72524;376;Designer, ceramics/pottery;1938-09-08;4adadcf59354ade5c1b12269e5e4bdad;1326758471;36.707865000000005;-91.942227;0
2019/01/18;00:00:00;6501313409525696;fraud_Bauch-Raynor;grocery_pos;166.07;Carrie;Lewis;F;28925 Powell Mountains Apt. 762;Pecos;TX;79772;12747;Merchandiser, retail;1987-05-05;ea4e540850c1203c9fa9957ba13a7962;1326844800;30.876787;-102.916495;0
2019/01/19;00:00:00;38544312728630;fraud_Eichmann, Bogan and Rodriguez;gas_transport;44.05;Veronica;Burton;F;08932 Bonnie Stravenue;Bonita Springs;FL;34135;51427;Claims inspector/assessor;1991-08-21;8034235da3e8c149e1afe93601ebfacd;1326931200;26.901308;-82.554626;0
2019/01/20;00:00:23;4935858973307492;fraud_Miller-Hauck;grocery_pos;99.93;Lance;Wagner;M;6003 Brady Shoal Apt. 449;Irwinton;GA;31042;1841;Film/video editor;1975-06-01;77993e691b6dc1739db700be27fb9adf;1327017623;32.886358;-83.371659;0
2019/01/21;00:00:12;375904527651269;fraud_Cremin, Hamill and Reichel;misc_pos;4.09;Ryan;Cook;M;75952 Wilson Course;Roseland;NE;68973;463;Nurse, mental health;1948-05-31;8374c4b81e142092351ecccda4e6d6d8;1327104012;41.018755999999996;-98.177132;0
2019/01/22;00:01:20;341542810616333;fraud_Hayes, Marquardt and Dibbert;misc_net;3.62;Billy;Mcdonald;M;304 Ryan Port Suite 335;Camden;MO;64017;464;Colour technologist;1959-05-28;765f9892da8a474e675c3f294d95f09a;1327190480;39.506828000000006;-94.806276;0
2019/01/23;00:00:45;6011109736646996;fraud_Welch Inc;misc_net;117.02;Rebecca;Erickson;F;594 Berry Lights Apt. 392;Wilmington;NC;28405;186140;English as a second language teacher;1983-02-08;40af61574b0372e709998d72a87b1491;1327276845;34.509903;-78.109652;0
2019/01/24;00:00:18;4302480582202074;fraud_Hintz-Bruen;grocery_net;58.61;David;Rodriguez;M;821 Solis Points;Muskegon;MI;49440;128715;Historic buildings inspector/conservation officer;1995-05-25;045988ae6596abd490e7f50ee8366bf8;1327363218;44.1427;-86.99427800000001;0
2019/01/25;00:00:21;375767678113375;fraud_Christiansen, Goyette and Schamberger;gas_transport;78.88;Christopher;Patterson;M;16744 Campbell Wall Apt. 372;Timberville;VA;22853;4367;Waste management officer;1962-04-12;4af42deede1ab3a2aeb52941306dd7dd;1327449621;38.261203;-78.863516;0
2019/01/26;00:07:33;4319584480204988982;fraud_Kuvalis Ltd;gas_transport;55.57;Kathleen;Nash;F;010 Salazar Walk;Cromona;KY;41810;502;Chief Financial Officer;1960-02-01;53ba1cbf686bc65d2e7ce93c10213682;1327536453;37.400566;-83.24588299999999;0
2019/01/27;00:00:04;4223708906367574214;fraud_Rodriguez Group;gas_transport;62.71;Adam;Riddle;M;27718 Mason Bypass;Mount Saint Joseph;OH;45051;177;Exhibition designer;1974-05-30;5f17a4870f09aea990316634703e03e5;1327622404;39.942046000000005;-84.509279;0
2019/01/28;00:00:07;4128730454058057622;fraud_Hills-Witting;shopping_net;4.86;Monique;Martin;F;68276 Matthew Springs;Ratcliff;TX;75858;43;Engineer, production;1949-10-04;302f4971fec178965276c5fde5dd792f;1327708807;31.234551;-94.48751899999999;0
2019/01/29;00:00:31;3521815216091574;fraud_Schmidt and Sons;shopping_net;86.43;Wayne;Marsh;M;172 Leonard Island;Dumont;CO;80436;565;Mental health nurse;1978-08-27;fc1b4879df22d1ee45cb5596451e5197;1327795231;40.747326;-104.91910700000001;0
2019/01/30;00:00:24;30238755902988;fraud_Murray-Smitham;grocery_pos;91.25;Danielle;Yu;F;5395 Colon Burgs Suite 037;Thrall;TX;76578;1766;Press sub;1976-01-02;ed543e0b9a02620728f9427db543aa09;1327881624;30.666701;-96.902244;0
2019/01/31;00:02:37;4550599031376731;fraud_Casper, Hand and Zulauf;grocery_pos;66.21;Angela;West;F;9471 Wong Islands;Mansfield;OH;44902;92985;Press photographer;1968-05-29;3fa2458d1797c332415cbb17ba192f90;1327968157;41.029790999999996;-82.43946600000001;0
2019/02/01;00:02:24;4745996322265;fraud_Kling-Grant;grocery_net;19.46;Carrie;Washington;F;6114 Adams Harbor Suite 096;Kingsford Heights;IN;46346;1423;Psychologist, forensic;1998-10-07;0442179ed2d64942bc45c5442c3d5895;1328054544;41.58729;-87.58295600000001;0
2019/02/02;00:00:51;2248348993063230;fraud_Luettgen PLC;gas_transport;57.27;Jennifer;Scott;F;376 John Fork Suite 848;Randolph;OH;44265;51;Mechanical engineer;1960-08-05;c8d9d7f0feab77f2242fb422e8b42080;1328140851;41.907968;-80.355175;0
2019/02/03;00:02:32;639023984367;fraud_Connelly, Reichert and Fritsch;gas_transport;49.36;Destiny;Lowe;F;79472 Stevens Trace Apt. 120;Hannawa Falls;NY;13647;69;Chief Executive Officer;1991-06-05;893564451d7aa65a1733f8f71e795751;1328227352;44.565201;-75.195985;0
2019/02/04;00:00:06;30407675418785;fraud_Stracke-Lemke;grocery_pos;98.38;Danielle;Evans;F;76752 David Lodge Apt. 064;Breesport;NY;14816;520;Psychotherapist;1991-10-13;9cb002304991379dbac4bce852e08fc6;1328313606;43.120578;-77.30901899999999;0
2019/02/05;00:00:16;4462038234743679432;fraud_Predovic Inc;shopping_net;6.24;Kimberly;Bush;F;6027 Scott Meadows Suite 494;Dell City;TX;79837;579;Hydrogeologist;1945-11-26;382475d461e1773b36c3753489b95e47;1328400016;31.192534000000002;-104.594994;0
2019/02/06;00:00:06;4797297220948468262;fraud_Eichmann, Bogan and Rodriguez;gas_transport;40.56;Erica;Briggs;F;3310 Davidson Spurs Apt. 107;Oolitic;IN;47451;1228;Counsellor;1991-03-13;56885314e534602c2ab8bed2ef237d4c;1328486406;39.665993;-86.739559;0
2019/02/07;00:00:26;3586008444788268;fraud_Goldner, Kovacek and Abbott;grocery_pos;206.92;Crystal;Fuller;F;000 Jennifer Mills;Issaquah;WA;98027;50489;Osteopath;1984-02-29;9748a51f585fa40f80b47b2c5f21d0c5;1328572826;47.397892999999996;-121.17903799999999;0
2019/02/08;00:00:00;6011934240159560;fraud_Okuneva, Schneider and Rau;shopping_pos;122.02;Joshua;Cohen;M;426 Mark Ports;Brooklin;ME;4616;824;Loss adjuster, chartered;1974-11-02;b6084eab4e45630a2fe8ce8aaf51cff3;1328659200;44.363186999999996;-67.962678;0
2019/02/09;00:01:19;2288813824604479;fraud_DuBuque LLC;grocery_pos;210.16;Barbara;Norman;F;6278 Stephanie Unions;New York City;NY;10039;1577385;Herbalist;1981-08-29;f07a30aecda0a0d74c20ac4e706ba713;1328745679;41.808791;-74.055447;0
2019/02/10;00:00:53;180031190491743;fraud_Maggio-Fahey;misc_pos;2.62;Becky;Mckinney;F;250 Benjamin Hill Apt. 026;Mobile;AL;36617;270712;Surveyor, land/geomatics;1972-01-05;3bda15231a8325c21bc7d3429ae193b1;1328832053;30.482378000000004;-87.2508;0
2019/02/11;00:01:01;3598895972308782;fraud_Huel, Hammes and Witting;grocery_pos;110.85;Kenneth;Richards;M;994 Livingston Extensions Suite 918;Norwalk;OH;44857;23805;Copy;1970-02-22;c87a4032c34ed054b3bc9f57a67991ca;1328918461;41.539282;-82.353617;0
2019/02/12;00:00:29;4204237326785494;fraud_Heller, Gutmann and Zieme;grocery_pos;284.58;Mary;Golden;F;4407 Lisa Course;West Frankfort;IL;62896;12626;Trading standards officer;1996-01-10;2d3d134dfb49f8b727723ac1eefddf88;1329004829;38.28926;-88.393128;1
2019/02/13;00:00:46;4956828990005111019;fraud_Heller, Gutmann and Zieme;grocery_pos;64.63;Kenneth;Robinson;M;269 Sanchez Rapids;Elizabeth;NJ;7208;124967;Operational researcher;1980-12-21;544ae5eb489baa0df2fad0c6970bad0f;1329091246;40.694821999999995;-73.344779;0
2019/02/14;00:00:47;345933964507467;fraud_Reilly, Heaney and Cole;gas_transport;46.31;Carol;Dillon;F;27479 Reeves Dale;Whaleyville;MD;21872;718;Regulatory affairs officer;1985-03-19;d19ed10b94fb11b741f3ec2dd8fac9b7;1329177647;37.763591;-74.626447;0
2019/02/15;00:03:32;2475085306462014;fraud_Wiegand-Lowe;grocery_net;46.72;John;Miller;M;153 Mccullough Springs Apt. 857;Lamberton;MN;56152;1507;Land/geomatics surveyor;1993-10-12;b896e0a9df8ac40523bdb2e0f6688059;1329264212;44.784193;-94.875331;0
2019/02/16;00:01:53;3534330126107879;fraud_Kutch, Hermiston and Farrell;gas_transport;71.01;Jeffrey;Smith;M;713 Scott Pike Apt. 712;Bridger;MT;59014;1446;Chartered loss adjuster;1978-01-15;299d55d038c67d2b302f5b8adb9d1d78;1329350513;46.216992;-109.069938;0
2019/02/17;00:00:14;4195740185974;fraud_Raynor, Reinger and Hagenes;gas_transport;43.7;Benjamin;Robinson;M;0701 John Ranch;Portland;OR;97210;841711;Engineer, building services;1963-04-04;3f1d4eec6d6ede6c469cd0eb032434c4;1329436814;44.933153000000004;-122.783622;0
2019/02/18;00:00:49;3523843138706408;fraud_Corwin-Collins;gas_transport;70.02;Grace;Williams;F;28812 Charles Mill Apt. 628;Plantersville;AL;36758;1412;Drilling engineer;1970-11-20;f93ef2a0fa9ce488435a301ae48664da;1329523249;33.129509999999996;-86.085864;0
2019/02/19;00:03:22;180094419304907;fraud_Moore, Dibbert and Koepp;misc_net;29.53;Sharon;Smith;F;17666 David Valleys;Sun City;CA;92585;54287;Designer, exhibition/display;1972-09-22;2b4469124ef2418deb9230c910f73a55;1329609802;34.072798999999996;-118.00346;0
2019/02/20;00:04:24;4670613943676271;fraud_Little, Gutmann and Lynch;shopping_net;9.15;Bianca;Novak;F;0953 David Skyway;Cuthbert;GA;39840;5726;Fitness centre manager;1947-08-14;e9f4339afd3d0ffb5c455c953acc6230;1329696264;32.366427;-84.711391;0
2019/02/21;00:02:51;630471368021;fraud_Lockman Ltd;grocery_pos;105.84;George;Floyd;M;22502 Baker Mount Suite 241;Hazel;KY;42049;1480;Designer, interior/spatial;1974-09-14;49064969452ff93a66defebd2c537b47;1329782571;36.650351;-87.58294599999999;0
2019/02/22;00:00:03;60422928733;fraud_Dickinson-Rempel;misc_pos;25.13;Jeffrey;Powers;M;38352 Parrish Road Apt. 652;North Augusta;SC;29860;46944;Secondary school teacher;1942-04-02;f9f537c8e6b7af65dd857ebc54f44e22;1329868803;34.466709;-80.998429;0
2019/02/23;00:00:05;38014427445058;fraud_Schuppe-Schuppe;food_dining;121.14;Sonya;Jensen;F;4470 Jillian Courts;Adams;WI;53910;3508;Sport and exercise psychologist;1946-08-11;22ce7f342c3e2a07b67d9bd0bf6daea0;1329955205;43.681397;-89.806634;0
2019/02/24;00:00:44;4538566639857;fraud_Hudson-Ratke;grocery_pos;64.87;Jerry;Kelly;M;3539 Mckenzie Stream;Fairview;NJ;7022;13835;Programmer, multimedia;1967-05-28;f32a690911bb89760cafc4cd8cf9a0a1;1330041644;41.255171000000004;-74.626502;0
2019/02/25;00:01:13;4390966588600992777;fraud_Conroy-Emard;food_dining;110.69;Kyle;Simmons;M;8149 Harris Divide;Oklahoma City;OK;73134;640470;Advertising copywriter;1966-06-24;079fecc706cea1081bbd6c4c7f8a50c0;1330128073;34.993544;-97.835762;0
2019/02/26;00:00:43;676102124465;fraud_Stracke-Lemke;grocery_pos;196.39;Natasha;Mclaughlin;F;8699 Lindsay Ford Apt. 486;Napa;CA;94558;94014;Airline pilot;1985-08-21;dba2f403514a5f8e3c8498df87eb9e5a;1330214443;38.574207;-121.90164399999999;0
2019/02/27;00:06:13;213161231269724;fraud_Berge LLC;gas_transport;45.73;Alyssa;Morgan;F;622 Robin Run Suite 764;Gadsden;AL;35901;67082;Physiological scientist;1963-02-09;b167070119e3f43ef561c5c2445e1806;1330301173;34.800444;-85.591949;0
2019/02/28;00:01:02;30143713661454;fraud_Marks Inc;gas_transport;74.5;Nicholas;Thornton;M;5270 Megan Burg Suite 756;Halma;MN;56729;140;Embryologist, clinical;1942-01-06;328e1db66aef05ac048f6d0a02fd19bf;1330387262;48.572331;-97.506578;0
2019/03/01;00:00:08;213154573301411;fraud_Erdman-Kertzmann;gas_transport;59.56;Christopher;Sheppard;M;39218 Baker Shoals;Bristow;IN;47515;965;Horticultural therapist;1982-02-10;9bdf9409301f97bbc3505fecc452048c;1330560008;37.719633;-87.447041;0
2019/03/02;00:00:20;213173753804333;fraud_Williamson LLC;misc_pos;31.91;Joseph;Wagner;M;822 Austin Spur;North Judson;IN;46366;5791;Doctor, general practice;1959-10-07;ad548902ccdd786c4edcc6ea47660f4c;1330646420;40.886521;-86.34154000000001;0
2019/03/03;00:00:43;4102003771126577611;fraud_Goodwin-Nitzsche;grocery_pos;67.72;William;Fitzgerald;M;715 Courtney Pike Suite 932;Keller;TX;76248;95035;Probation officer;1987-06-13;c280e374271d55e6ca0611e56822350e;1330732843;32.863349;-96.638281;0
2019/03/04;00:01:27;213125815021702;fraud_Rempel Inc;shopping_net;7.14;Adam;Kirk;M;40847 Stark Junctions;Big Indian;NY;12410;397;Psychiatrist;1931-09-12;da4051f48de74935abd2f78ae4b6d8a7;1330819287;41.315368;-74.693329;0
2019/03/05;00:01:00;4102003771126577611;fraud_Miller-Harris;misc_net;52.95;William;Fitzgerald;M;715 Courtney Pike Suite 932;Keller;TX;76248;95035;Probation officer;1987-06-13;f451b98cae82332f041a33b4c6ff6e80;1330905660;32.631656;-96.599682;0
2019/03/06;00:00:20;6011917798331152;fraud_Doyle Ltd;grocery_pos;111.12;William;Johnson;M;50843 Vincent Mission;South Londonderry;VT;5155;828;Scientific laboratory technician;1957-08-30;971d65b81ed4b33ec3e203ca67cfe8ea;1330992020;44.037071999999995;-72.36604;0
2019/03/07;00:00:13;180065479077096;fraud_Konopelski, Schneider and Hartmann;food_dining;125.99;Krystal;Gamble;F;47152 Clayton Burg;Manchester;MD;21102;11751;Clinical research associate;1964-02-15;50b9d76ff238898808cad82eda4f6568;1331078413;39.970394;-76.887574;0
2019/03/08;00:01:07;4149635823017;fraud_Wolf Inc;grocery_pos;60.01;Samuel;Farrell;M;428 Michael Tunnel Apt. 377;Cleveland;AL;35049;3996;Aid worker;1977-06-14;b3b088a8278b363f6d22a85dbaf9d8d5;1331164867;34.343669;-87.19028;0
2019/03/09;00:00:15;6011679934075347;fraud_Gutmann Ltd;grocery_net;81.42;Jennifer;Gonzalez;F;5517 Stacy Land;Jelm;WY;82063;100;Public librarian;1974-04-16;a8380879a3d525d94cbebdb3b3338437;1331251215;40.476401;-105.42898400000001;0
2019/03/10;00:00:08;4671727014157745;fraud_Morar Inc;grocery_net;64.66;Kenneth;Edwards;M;3653 Ryan Crossroad;Andrews;IN;46702;2304;Retail banker;1955-07-25;68805a4b079a876a91d54fec49700da6;1331337608;40.737031;-86.208826;0
2019/03/11;00:00:23;4328928491302401;fraud_Osinski, Ledner and Leuschke;grocery_pos;217.69;Margaret;Ray;F;927 Cummings Manor Suite 318;Greendale;WI;53129;13973;Logistics and distribution manager;1981-05-06;28a2b9d3a5e9378cc143b97c128b8cdd;1331424023;43.707322999999995;-88.260963;0
2019/03/12;00:00:53;3558652751678952;fraud_Mohr-Bayer;shopping_net;11.09;Teresa;Blankenship;F;6638 Lucero Mill Suite 952;Karnack;TX;75661;2807;Chiropodist;1931-01-26;ffddbc16c1c0cb115661d0b738b11636;1331510453;31.821816;-94.625501;0
2019/03/13;00:01:07;6011552879910390;fraud_O'Keefe-Hudson;grocery_pos;105.85;Robert;Long;M;529 Joshua Knoll Apt. 511;Lonetree;WY;82936;49;Research scientist (physical sciences);1981-07-05;f64c55f4df73315277973b24fab35061;1331596867;41.732979;-109.96494799999999;0
2019/03/14;00:00:10;4254074738931278;fraud_Christiansen, Goyette and Schamberger;gas_transport;48.29;Gary;Hall;M;69085 Short Shores;Allentown;NY;14707;239;Radio producer;1956-05-02;0fc78b47121e89d8eef0fae1f2df154a;1331683210;42.235995;-77.698176;0
2019/03/15;00:01:04;6011399591920186;fraud_Spinka-Welch;grocery_net;37.23;Maria;Roy;F;58665 Nicholas Ford Suite 348;Sheffield;MA;1257;2121;Radio producer;1973-10-14;cacc396f4001264396841d058d9d7a0b;1331769664;41.891934;-73.57616999999999;0
2019/03/16;00:00:05;343746486082492;fraud_Jones, Sawayn and Romaguera;misc_net;6.19;Jeffrey;Munoz;M;836 Stephanie Union;Cedar;MI;49621;3096;Social research officer, government;1975-10-11;07e51f5f6454a0821a89eb549eeed06c;1331856005;44.181482;-84.81404599999999;0
2019/03/17;00:00:41;30501624614310;fraud_Corwin-Collins;gas_transport;45.99;Amanda;Smith;F;180 Graves Shore;Scotia;SC;29939;302;Magazine features editor;1973-05-04;d1a60e4c4fbcf2482db56c57a6a6d7b3;1331942441;32.881102;-82.173961;0
2019/03/18;00:00:41;4474324669797121;fraud_Lehner, Reichert and Mills;misc_pos;6.48;Matthew;Russell;M;168 Michael Coves Suite 343;June Lake;CA;93529;633;Health service manager;1927-09-09;72dd320a9338fcce8d0d486e811d37bb;1332028841;37.893725;-119.382567;0
2019/03/19;00:01:00;4239552724014407;fraud_VonRueden Group;grocery_net;97.5;Carl;Hernandez;M;9134 Darryl Flat Suite 916;Paulding;OH;45879;6284;Secondary school teacher;1936-03-27;8925193079fb3c4e82a1bb079fa4aed4;1332115260;40.718567;-83.873261;0
2019/03/20;00:00:58;38295635583927;fraud_Lockman Ltd;grocery_pos;367.34;Candice;Brown;F;9412 Harris Mews;O Brien;TX;79539;178;Warden/ranger;1983-06-14;d6e35e274b1959fcf3f4c975d791ca7f;1332201658;33.735487;-99.767666;1
2019/03/21;00:00:16;5130484058948421;fraud_Mosciski, Ziemann and Farrell;shopping_net;104.28;Ronald;White;M;25713 Hamilton Grove Apt. 903;Beaverdam;OH;45808;349;Museum/gallery conservator;1978-12-25;63fbb598ee0e29816dcdcf878f6be3c8;1332288016;41.327973;-83.137975;0
2019/03/22;00:01:41;38580485618059;fraud_Gislason Group;misc_pos;1.47;Teresa;Clark;F;1323 Derek Mission;Noonan;ND;58765;248;Industrial/product designer;1968-05-13;a0556305c57f0ac6e6ba1ec63d382063;1332374501;48.64577;-103.37254200000001;0
2019/03/23;00:00:41;2720433095629877;fraud_Wiegand-Lowe;grocery_net;60.17;Mark;Wood;M;854 Walker Dale Suite 488;Bowdoin;ME;4287;3224;Engineer, electronics;1997-08-22;368b1c4df0257cc63a767b395a64cc3b;1332460841;44.261261;-70.80601899999999;0
2019/03/24;00:00:04;4800395067176717;fraud_Moen, Reinger and Murphy;grocery_pos;127.13;Daniel;Owens;M;88794 Mandy Lodge Apt. 874;Howells;NE;68641;1063;Research scientist (maths);1928-04-02;c45959bf8da420eba18d03a7b0fd8dd3;1332547204;41.467783000000004;-96.41811700000001;0
2019/03/25;00:00:01;676118385837;fraud_Luettgen PLC;gas_transport;69.59;Katelyn;Wise;F;674 Maureen Summit Apt. 276;Scotts Mills;OR;97375;1252;Engineer, petroleum;1937-02-06;7ef3f66f33554fc40c06eb1064f7a4f9;1332633601;44.825421;-121.7632;0
2019/03/26;00:00:13;4428154703770710;fraud_Schaefer, McGlynn and Bosco;gas_transport;42.65;Brittany;Guerra;F;79209 Gary Dale;Colton;WA;99113;761;Chief Marketing Officer;1943-06-30;e1ce0c3831cd21d1eb29b5911e91930e;1332720013;47.355658;-116.66728700000002;0
2019/03/27;00:01:32;3549202406645667;fraud_Haley Group;misc_pos;223.32;Larry;Williams;M;6274 David Oval Suite 725;Scarborough;ME;4074;18760;Make;1933-04-02;1a17fddf4ed30b13fbd709482c4646a1;1332806492;43.093052;-69.55328399999999;0
2019/03/28;00:00:09;3506042666828517;fraud_Luettgen PLC;gas_transport;59.18;Christine;Burns;F;343 Hannah Parkway;Comfort;WV;25049;630;Fine artist;1959-07-30;226f75b7e0b63d5556ea1e5fbaf98f2d;1332892809;38.235708;-82.122998;0
2019/03/29;00:00:13;4653178848915023204;fraud_Heller-Abshire;grocery_net;31.68;Robert;Hall;M;371 Anthony Trail Suite 354;Glade Spring;VA;24340;5657;Clinical psychologist;1987-04-29;d86f7a722cce099d9dc99f5fc91bfb79;1332979213;36.781769;-82.293708;0
2019/03/30;00:00:02;4836998673805450;fraud_Doyle Ltd;grocery_pos;207.57;Susan;Hardy;F;516 Brown Parks;Manistique;MI;49854;6469;Trade mark attorney;1979-04-12;67a372b4eea0fd639441c6aab0a1fae1;1333065602;46.336068;-86.972353;0
2019/03/31;00:00:19;4635330563105903;fraud_Greenfelder, Bartoletti and Davis;misc_net;246.06;Christina;Rose;F;1984 Taylor Island Suite 836;Falls Church;VA;22046;116155;Chartered accountant;1983-07-10;f713107f26c07f5f8578a0a5fc2c689a;1333152019;39.388006;-77.414827;0
2019/04/01;00:00:03;630451534402;fraud_Prohaska-Murray;gas_transport;55.18;Rachel;Daniels;F;561 Little Plain Apt. 738;Wetmore;MI;49895;765;Immunologist;1972-06-12;32a0d523bc8aad17812e387db87222ea;1333238403;46.806360999999995;-86.08833;0
2019/04/02;00:01:12;30357372465631;fraud_Kiehn Inc;grocery_pos;118.16;John;Nichols;M;00821 Joanna Meadow;Dalton;WI;53926;1628;Civil Service fast streamer;1967-09-30;d1da7bbca6e613f7484265bd21487ea1;1333324872;43.80581;-89.095474;0
2019/04/03;00:00:07;501882822387;fraud_Klein Group;entertainment;18.22;Melissa;Phillips;F;5069 Scott Pass Apt. 654;Meadville;MS;39653;2799;Therapist, horticultural;1961-01-21;c532ec82254fae78c3c95781e2e7a23d;1333411207;30.446817;-90.176458;0
2019/04/04;00:00:00;180031190491743;fraud_Klocko LLC;misc_net;182.27;Becky;Mckinney;F;250 Benjamin Hill Apt. 026;Mobile;AL;36617;270712;Surveyor, land/geomatics;1972-01-05;34e5a95a8d558ea6c3b21f267154e51b;1333497600;30.009173999999998;-88.01871700000001;0
2019/04/05;00:01:11;6501313409525696;fraud_Ruecker Group;misc_net;109.2;Carrie;Lewis;F;28925 Powell Mountains Apt. 762;Pecos;TX;79772;12747;Merchandiser, retail;1987-05-05;d5aa03ef7e93646a850d1b61ec425685;1333584071;31.023487;-102.658098;0
2019/04/06;00:00:02;3533177016567295;fraud_Labadie, Treutel and Bode;shopping_net;96.08;Derek;Bentley;M;782 Lee Crossing Apt. 209;Weeping Water;NE;68463;1517;Dealer;1951-11-08;6c3196d644034b18dd174703e3dc33c8;1333670402;41.770228;-96.85911;0
2019/04/07;00:00:13;4671727014157745;fraud_Strosin-Cruickshank;grocery_pos;111.75;Kenneth;Edwards;M;3653 Ryan Crossroad;Andrews;IN;46702;2304;Retail banker;1955-07-25;4d682d3a136465f6074aec5d080e5b41;1333756813;41.511165000000005;-85.658456;0
